"species","lat","lon"
"Bertholletia excelsa",-4.509167,-56.255
"Bertholletia excelsa",-9.810689,-67.990692
"Bertholletia excelsa",-3.182904,-59.868798
"Bertholletia excelsa",-11.134504,-66.003963
"Bertholletia excelsa",-11.169574,-66.131427
"Bertholletia excelsa",-3.069611,-59.868037
"Bertholletia excelsa",-3.050833,-54.9275
"Bertholletia excelsa",-15.767315,-47.959021
"Bertholletia excelsa",-9.48602,-55.845619
"Bertholletia excelsa",-9.547336,-55.864381
"Bertholletia excelsa",-16.488106,-68.15506
"Bertholletia excelsa",-3.126462,-64.91722
"Bertholletia excelsa",-3.062556,-59.924039
"Bertholletia excelsa",-2.418889,-48.152222
"Bertholletia excelsa",0.218611,-78.891389
"Bertholletia excelsa",-2.887,-54.923
"Bertholletia excelsa",-12.654057,-69.082862
"Bertholletia excelsa",-9.635278,-61.643611
"Bertholletia excelsa",-9.591111,-61.649722
"Bertholletia excelsa",-12.808628,-69.564041
"Bertholletia excelsa",-6.099581,-49.898111
"Bertholletia excelsa",-3.153056,-51.7625
"Bertholletia excelsa",-10.44567,-67.78562
"Bertholletia excelsa",-5.508611,-50.2475
"Bertholletia excelsa",-2.485555,-54.828056
"Bertholletia excelsa",-2.485556,-54.828056
"Bertholletia excelsa",-3.317222,-51.802222
"Bertholletia excelsa",-3.329444,-51.794444
"Bertholletia excelsa",-3.137778,-51.79
"Bertholletia excelsa",-3.146944,-51.7175
"Bertholletia excelsa",-12.627381,-69.190407
"Bertholletia excelsa",-3.476208,-55.5602
"Bertholletia excelsa",-12.88245,-69.357173
"Bertholletia excelsa",-12.714597,-69.3006
"Bertholletia excelsa",-3.270278,-51.761667
"Bertholletia excelsa",-9.423889,-65.696666
"Bertholletia excelsa",-3.201111,-51.813889
"Bertholletia excelsa",-3.273889,-51.761667
"Bertholletia excelsa",-3.1925,-51.826944
"Bertholletia excelsa",-9.4239,-65.6967
"Bertholletia excelsa",-1.05825,-46.782806
"Bertholletia excelsa",-3.504105,-64.841382
"Bertholletia excelsa",-9.3475,-56.770278
"Bertholletia excelsa",-9.97472,-67.81
"Bertholletia excelsa",-0.794791,-61.557214
"Bertholletia excelsa",-0.795472,-61.557
"Bertholletia excelsa",-6.675833,-51.378611
"Bertholletia excelsa",1.477197,-61.01
"Bertholletia excelsa",-11.794206,-69.293854
"Bertholletia excelsa",-11.669874,-69.241905
"Bertholletia excelsa",-12.325,-53.469167
"Bertholletia excelsa",-11.006389,-55.249167
"Bertholletia excelsa",-9.347778,-56.775278
"Bertholletia excelsa",-9.254722,-64.66
"Bertholletia excelsa",-8.754444,-63.870278
"Bertholletia excelsa",-9.254722,-64.661944
"Bertholletia excelsa",-9.2547,-64.6619
"Bertholletia excelsa",-6.50698,-64.55
"Bertholletia excelsa",-6.5069,-64.5519
"Bertholletia excelsa",-13.16729,-68.06118
"Bertholletia excelsa",-0.954444,-52.97
"Bertholletia excelsa",-2.6275,-60.952778
"Bertholletia excelsa",-0.954444,-52.9725
"Bertholletia excelsa",-0.93544,-52.95225
"Bertholletia excelsa",-2.6275,-60.95
"Bertholletia excelsa",-13.043056,-56.155833
"Bertholletia excelsa",-12.613844,-69.028537
"Bertholletia excelsa",-9.540833,-55.886111
"Bertholletia excelsa",-9.540556,-55.885556
"Bertholletia excelsa",-9.54061,-55.88553
"Bertholletia excelsa",-12.608311,-68.605293
"Bertholletia excelsa",-12.5692,-70.6683
"Bertholletia excelsa",-12.5667,-70.1
"Bertholletia excelsa",1.089444,-70.107222
"Bertholletia excelsa",-11.1,-69.05
"Bertholletia excelsa",-9.72917,-68.1481
"Bertholletia excelsa",-11.601944,-67.945833
"Bertholletia excelsa",-2.006389,-61.609722
"Bertholletia excelsa",-11.6019,-67.9458
"Bertholletia excelsa",-10.8,-68.066667
"Bertholletia excelsa",-10.8,-68.07
"Bertholletia excelsa",-10.8,-68.0667
"Bertholletia excelsa",3.833333,-70.333333
"Bertholletia excelsa",-11.73,-67.98
"Bertholletia excelsa",2.38,-59.3
"Bertholletia excelsa",-3.383333,-60.266667
"Bertholletia excelsa",-3.383333,-60.27
"Bertholletia excelsa",-3.38,-60.27
"Bertholletia excelsa",-3.38333,-60.2667
"Bertholletia excelsa",2.833333,-59.5
"Bertholletia excelsa",-3.133333,-68.183333
"Bertholletia excelsa",-3.047957,-59.885089
"Bertholletia excelsa",2.18333,-65.1
"Bertholletia excelsa",2.18,-65.1
"Bertholletia excelsa",-10.65,-69.516667
"Bertholletia excelsa",-10.65,-69.52
"Bertholletia excelsa",-2.416667,-59.733333
"Bertholletia excelsa",-2.42,-59.73
"Bertholletia excelsa",-9.1,-63.2167
"Bertholletia excelsa",-10.566667,-66.1
"Bertholletia excelsa",-12.45,-67.6167
"Bertholletia excelsa",-1.626944,-48.901667
"Bertholletia excelsa",-3.133333,-68.2
"Bertholletia excelsa",-3.316294,-59.878136
"Bertholletia excelsa",-11.03333,-66.25
"Bertholletia excelsa",-12.01666,-68.28333
"Bertholletia excelsa",-12.016667,-68.283333
"Bertholletia excelsa",-12.02,-68.28
"Bertholletia excelsa",-11.0333,-66.25
"Bertholletia excelsa",-12.0167,-68.2833
"Bertholletia excelsa",-11.2,-55.9333
"Bertholletia excelsa",-9.933333,-63.066667
"Bertholletia excelsa",-9.724869,-63.11935
"Bertholletia excelsa",-9.93333,-63.0667
"Bertholletia excelsa",-11.12,-62.63
"Bertholletia excelsa",-0.1,-51.78333
"Bertholletia excelsa",0.1,-51.783333
"Bertholletia excelsa",-0.1,-51.7833
"Bertholletia excelsa",-5.91667,-55.6667
"Bertholletia excelsa",-3.133333,-68.016667
"Bertholletia excelsa",-3.08,-59.9
